Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Deferred,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,SauceBros POS,Side,Ranch,,,Pizza,[],false,24.0,0.99,0.99,23.76,0.0,0.0,0.0,23.76,1.92,0.0,0.0
menuItem,SauceBros POS,Side,Parmesan Bags 3,,,Pizza,[],false,1.0,0.99,0.99,0.99,0.0,0.0,0.0,0.99,0.08,0.0,0.0
menuItem,SauceBros POS,Side,Side Garlic Mayo,,,Pizza,[],false,3.0,0.99,0.99,2.97,0.0,0.0,0.0,2.97,0.24,0.0,0.0
"",SauceBros Catering,,,,,,,,57.0,12.15,,692.69,0.0,0.0,1261.05,692.69,43.46,0.0,0.0
"",SauceBros Catering,Pizza,,,,,,,56.0,10.94,,612.69,0.0,0.0,1261.05,612.69,36.86,0.0,0.0
menuItem,SauceBros Catering,Pizza,"14"" Pie",,,Pizza,[],false,55.0,10.87,10.87,597.69,0.0,0.0,1261.05,597.69,35.62,0.0,0.0
menuItem,SauceBros Catering,Pizza,"16"" Pie",,,Pizza,[],false,1.0,15.00,15.00,15.0,0.0,0.0,0.0,15.0,1.24,0.0,0.0
"",SauceBros Catering,Pasta Tray,,,,,,,1.0,80.00,,80.0,0.0,0.0,0.0,80.0,6.6,0.0,0.0
menuItem,SauceBros Catering,Pasta Tray,Full tray,,,Pizza,[],false,1.0,80.00,0.00,80.0,0.0,0.0,0.0,80.0,6.6,0.0,0.0
"",All Day Menu,,,,,,,,4382.0,16.15,,70765.76,0.0,0.0,172.86,70765.76,5835.16,0.0,0.0
"",All Day Menu,Pizzas,,,,,,,3185.0,20.81,,66265.79,0.0,0.0,146.89,66265.79,5465.88,0.0,0.0
menuItem,All Day Menu,Pizzas,Bros favorite Cheese Pizza,,,,[],false,109.0,16.43,0.00,1790.56,0.0,0.0,0.0,1790.56,147.82,0.0,0.0
